user_id,friends
-9WVpTW5LAEo9y6PbW0-cw,"['F78tJHr0qW6FsYBtWMmLpA', 'aeuo-PdHqd4IQSoH-Kueyg', 'k7J0CjxFoxdSayhlDE-k7w', '6Nk8WX1STMTEuKjmRlrh6A', 'SsYDYuT792irBRoGpcOmrA', 'F2av57ztcbYiPADtT-YpdA', 'vMW6V-RszXVvHEw2xMxTJA', 'reEOGQvjBwEX9wWGgWBZbA', 'SRJV_DzWUG_KlBoCvVN4NQ', 'RBZ_kMjowV0t6_nv2UKaDQ', '6AMwQ8cFWIKGbGpVwehkfw', 'V7B4KTBitlBs9YH_B00-9Q', 'vwi68eg4bmJHMSYq3jP2OQ']"
-ALVvVsACTOCKKTosnhtSQ,['zFYs8gSUYDvXkb6O7YkRkw']
-ARdx8hOcEWlMDjzwLYZ_g,"['ACwBMSJzgW6vOvV7vOrk8Q', 'E73xr_twLJZemdGrXWQobQ', 'cKeMks0yFeItSlkUKnZW0w', 'YrlNGnrofZHseVYxrLrvJA', 'CSe3dRei3fAAmfm64vm0pQ', 'Lfv4hefW1VbvaC2gatTFWA', 'CYTpi63Tv_UTjsaTMCZUvg', 'rCWrxuRC8_pfagpchtHp6A', 'V7uS5US4oTf-S9u36HJQCQ', 'etU9P4_CgI4S79Ec5KHs9g', 'fmzIm7RxEdii5Jz44PtO7g', 'bu1mtWwxuayzV6b3VScWLw', 'LUlKtaM3nXd-E4N4uOk_fQ', '2YOWAF4_uQZ3ToABzRh4hA', '16wUxTF_jIH8d82IxFUD0g', '4wp4XI9AxKNqJima-xahlg', '_VTEyUzzH92X3w-IpGaXVA', '89R0mC9DUwc-P1UCoh8s6w']"
-Aw9kRoXmFptUMN2XkJY9w,"['JnPIjvC0cmooNDfsa9BmXg', 'mb_8jXannipO5T5V5kGXiQ']"
-B3Ba5F7Cd5dbAdw5p4Nkg,"['flxyHLLQraTnd_z0_OmTvw', 'Ry2eEdDFbB3jCd-puLq0bg']"
-BevLRnJhh9JeIT2g5I3mQ,"['Ryxj0u0AW3mRsRypdYli2A', 'xhhE0txKwQtRzgQVVdKkvg', 'nixQjPlfVhMEhrNkmp5FDw', 'Dkb-TJFNSWl4PYR8wEcWcw']"
-C-l8EHSLXtZZVfUAUhsPA,"['74sdrfg2SFhH3kAslZjjrg', 'wXZS42D0L8hoCiSh2Krc_A', 'O_GWZZfQx7qv-n-CN7hsIA', 'RdrvkrzDbXEXhxPxSp9GDA', 'LkP5uU4ncr5MgNp8ercSCA', 'i_DR3vdE73nVm2GlMbGpGA', 'vWP8-aQX0rYJszqkWVL7Ew', 'kzRq4H_nSf4b3F_sdymWSw', 'wYlael7ejt4I3vjaXmpGnA', 'bLbSNkLggFnqwNNzzq-Ijw', '3UIa8YVjETNwJwnOl4SEdg', 'kwS_MjOUs1Jd_4X7B5t2yQ', '3MO--ENqKScLFQFuW1751g', '8fsZcLADFrPTbGrFqMACpg', 'haSh72Q0MsQZUpWPeVgp0Q', 'vRjVhl3ONG2GfWY4NXJZbQ', 'gydXHK8vNytsaRLHZV7j4g', 'x7XxZlwwicP-3eNPVgiTaQ', '1dWLN4Mr4hKhu8MQUCKqXQ', 'XLNaiWF21OsAf0fMV6kuSg', 'Db80SCez0BdYaHdC0xmzoQ', '7Q6nBHl6NJ9gbJ900FkkAg', 'kbJeRTki8F984KdOlibxzA', 'N3oNEwh0qgPqPP3Em6wJXw', 'k4M43lXJuQMpQW65DTqzIQ', '8-MD6iBM9phQyGUiYfK3bw', 'eZZyuJDouIg4p-GYB3PV_A', '9Ms5wpxVloadWFvDbb77kg', 'JQIZhoQB-Tg9hdBEj90m4g', 'XXKjsdglgwSs9kWtK6ZWUQ', '3YAsLpbykHxYKunBpIjGNQ', '1O638BDK_fWuxgTVJwff-A', '29DWe8SD_RCeZ_A6ihxnhQ', 'Ae4uXwFHp-5fGrt6OONaXw', '3wB-JjsUjkvdNUDRnChsVg', 'doGsaahbqD7ePHP19UsDsg', '3nDUQBjKyVor5wV0reJChg', 'vwLV4TkRMoghs86tB1Ke8Q', 'jUZW1alRK8QvdZ-pH1OquQ', '7Oe6ikklTjVBbEFw9emLcA', 't2LoCqGXkr5mPtu2a336SA', 'hd-S4mtrPY9Q6iuBJegnOQ', 'lT49-Xggq_VAB2E9dce0yA', 'TdYKJgSgY2GF_YJnwsi5yQ', 'q9jCDNZDRUYl2Pwlgxocig', 'dfQ1NTHZy0KZhOfeFK_nng', '3Qv2rjPXC2eNKyV5lh3J_g', '8DBH3BpLINfTAK_Up5BtUQ', 'gl_f84zSpQsf4jZ_6S2LIg', '_VMGbmIeK71rQGwOBWt_Kg', 'U4INQZOPSUaj8hMjLlZ3KA', 'TOrRfYRFuxx0k9HH7OC6pQ', 'tH0uKD-vNwMoEc3Xk3Cbdg', 'OoyQYSeYNyRVOmdO3tsxYA', 'N044aCKJv3G5WuvwT5AJcA', 'A8TRpa--43-mbig73xfhrA', 'wnO99pBbGqwqOoTQM25iCw', 'pxzs-Dy2hXTis-PuNCV37Q', 'A5A34ixb-yy6nwL42iZsnw', 'L6nrDwHJDyV0KThjON-Kog', 'cQzo2WX1TyPEmS5jPzOUoA', 'oS2O8YQ31HTSTQgPQKc7Cg', 'Ksp1e9Dw0Jcog_ZBD3-45g', 'Dkb-TJFNSWl4PYR8wEcWcw', 'D43OWyfzIQjL8feJpYh2SQ', 'wFDewm6fvtVRZ0te5em63A', 'oG9VFtr_ye8v2tDnS3NOYw', 'KtIh1kjkVESCqd2CCsQnhA', 'UnfyTNhkdaV43uvmO7bPrQ', 'pZ6P_1V-bTSoYG1fg1TXzw', 'owlUazXSDLaxlOV7z8181g', 'YwaKGmRNnSa3R3N4Hf9jLw', 'CidTnTmSYL8l8iYyQkRJbw', 'uERlyO-ASZag6XXouCrkhg', '8OeTLey-p-WaL9ErNEci1Q', 'wmyoMUiW6YU9Audm0lACDg', 'Rdt-JiAN7Qlw3dJ7UVdNtw', 'yWfbvo0LXhssOsH9FNJ8Jw', '2EuPAGalYnP7eSxPgFCNDg', 'Sv48jgljDP-CRfXmU8uSgA', 'UYcmGbelzRa0Q6JqzLoguw', 'QqRSNjWhfUFv1ZU0OnYKZQ', 'deL6e_z9xqZTIODKqnvRXQ', 'u_wqt9RshdZsoj8ikLqoEQ', 's-591-mtIyP7F1Lffw98jw']"
-CEhRp5u-h2ZpNPdxGJx4Q,['baOzFvNhqgoT0tVJHABoww']
-CVmjsibfqwcOdNRQtaRLA,['75F5X2UH3imcfrgFR-9toA']
-Cs0HGG4YD5r36VhJKTJeQ,"['TQ9A1LVp6z-fIc494RsLDQ', 'PqymYhAWrtmesGMmKtI9fQ', 'KsTr8YkTOtb9bCZ1FcuQRg']"
-CxzWyvRj3b3tvFdelf38w,"['77lef7kKkoOVupY-7AmieQ', 's2o_JsABvrZVm_T03qrBUw', 'Dkb-TJFNSWl4PYR8wEcWcw', 'IC8kXWtzeq9FLYcH4mhaEg', 'jtM-lajwSwW65wJRaMuFxg']"
-EAe6BffM8OPOue7DxtkEA,['g2tj7aYMDolqcpa1P7t9hw']
-FPadb9-LkwEOM-cNH6nxQ,['WG3w_73scm_JUWJ_3Lgn0Q']
-FhWNXl3Xecvdas9Fhkxwg,"['MOKG02vMLnzChSJKcx_ysw', 'gjhzKWsqCIrpEd9pevbKZw']"
-GEe27E7IE_2ViOn5hTphQ,['deL6e_z9xqZTIODKqnvRXQ']
-GOyRXrxavzJ5W3axrPXMw,['Wc5L6iuvSNF5WGBlqIO8nw']
-HH9X240K3SaBq4xzWGrOg,"['4d13xAX2jp2EbGF8I9eZZw', 'CPuUagT2rfUJm6hRgxn3JQ', 'e6iCOIhtupBCiw-VwBvJ4A', '-KzQH0n2ryLorsVgO7KeRw', 'zFYs8gSUYDvXkb6O7YkRkw', 'UGlYryF2DKbmBhTa7kq5WQ', 'MQwSyZ2MZ6N7rtAmphZCow']"
-HLE-x7Lpkfprd6er-JFGg,"['dt9IHwfuZs9D9LOH7gjNew', 'u3ZPMVVEzneq8x856WksJQ', 'NfU0zDaTMEQ4-X9dbQWd9A']"
-HXpF9E-YwE0g-mInWSRuA,"['_wWlaDeQ_zPhO8_n1KToJQ', 'qZB8BZ2ZzMF0VfIGhttu7w', 'Ry2eEdDFbB3jCd-puLq0bg', 'xLYv18eSaRmZRNbuzrdWQw', 'PeLGa5vUR8_mcsn-fn42Jg', '3UW_-mt_Ed0v4y3bMMQcoA', 'JKIkdVqAJLEXTq92gF98bA', 'Y0DSxhhChQwzoQsLeDuvRw', 'AsUDg2wZZqkgZzl0kuFvIA']"
-HiTLcAUdLb-0VxThoWc7Q,['O_GWZZfQx7qv-n-CN7hsIA']
-HlCe-Ya-4CE2huuEk2_1g,"['l3lzPkbXKguqvO85rblTJw', 'ZWD8UH1T7QXQr0Eq-mcWYg']"
-ImhX6BNFVKYA6D5swGrkA,['u2QTVJIiA2O6flJhak1A2w']
-InhDRRVG7wrwsgAUvN4Qw,"['H0Vpod3MzV_Z4FOggWMIvQ', 'wXi-P691AGOdonMy1TrL7w', 'qZlNNWCypJI2FOu0_0-OTQ', '5P_eJ6fHecXKvrZphXsIpQ', 'YRcaNlwQ6XXPFDXWtuMGdA', 'sVy5pmUN2J0sE2AzmgoBvw', '7_EXcW2umdoi9T8KpjqrDA', 'U3Su5FLssAUKNYonpzIgRw', 'X8XtoFBoAiHrw3rZ4v8cRQ', 'oUK6Xs5dPPnP4whFeZExGg', 'dIIKEfOgo0KqUfGQvGikPg', 'QJI9OSEn6ujRCtrX06vs1w', 'TZelLnaGbHgaG7LBI6rfgg', 'J6fNkgU2Rl49BcF7XT3Olg', 'T6682HBFcWpo6ONWKV2maw', '0BBUmH7Krcax1RZgbH4fSA', 'j5xtbqfOYZbLFd2p8EGi5A', 'zGkV6oQX_ZydoqP1W0a6AA', 'cImvLb3Wvd5EZ8SRjKAPsw', 'gjhzKWsqCIrpEd9pevbKZw', 'jwfOpCgeob0itikBIfPi2Q', 'qq6PrRpPn4yr9pvVIrOsSw', 'qKMR1BfX9C1a759nDZQdOw']"
-IsMs28ro39CYHOdqawsyQ,['n9-XwgSU74qTFdTCN5oreQ']
-Je2hqqhHiihuUdTzoNeSg,"['7VTgkFaJ49ftsK1PlRDGrQ', 'ZCfpFfwXeDEx2INITbOJ6A', '1ZPnQs-tdvbX8ROjtnzcEg', 'T28Q6m3oXBO8E_JtrNIQdg']"
-K3I3SCFvPS_Aw8B4gBtVQ,['oG9VFtr_ye8v2tDnS3NOYw']
-K8IQoaXwzxBCGx1IU86aw,"['yT_QCcnq-QGipWWuzIpvtw', 'Q9mA60HnY87C1TW5kjAZ6Q', 'C3aIEUOx-vrHAeGVDnMAjg', 'arKAjIWYQwoVLaot8DYJlQ', 'fEElH8y0NX6ekcjpDnEeAQ', 'kqyCQG4c5dwNt2cTkMcvGA', 'i7mBC7m7k2FLrdVUx0UqUg', 'eRDWzHCldd6YXypRECvHYg', 'FREeRQtjdJU83AFtdETBBw']"
-KVxkJDSTjtPGsamMDG92Q,"['4KbUaerUBoiUwZGMHKVFxQ', 'RVuGMBDgPegZ7ANlPF2dOQ', 'Hi10sGSZNxQH3NLyWSZ1oA', 'Kj9cFO70zZOQorN0mgeLWA', 'TibBhm-fbksozIDFD8wjPQ', 'pn_flI3EBNugBEYFp9okxQ']"
-KzQH0n2ryLorsVgO7KeRw,"['ZcwLnR_VGfgLmuJ_7tnAjQ', 'fVILhIglx6RNOXQba5t4kQ', 'li7AtdY322dAqBGicsgL0g', 'VM-pBrNPfZm-5YWcMCVbqw', 'BqE21d_vGACZFU2U8dCRSw', 'pwQ8E-hbDUJe3qtKt_IBBg', 'EXKDLuYoZUKUNNNYA7TlGQ', '6urS-vMeMNMw1ogB577H7w', 'V7B4KTBitlBs9YH_B00-9Q', 'RBZ_kMjowV0t6_nv2UKaDQ', 'PcvbBOCOcs6_suRDH7TSTg', '5NDk-q5mv8PIDvz83HwMVg', '-HH9X240K3SaBq4xzWGrOg', 'KTK_ws8lu_TWfR7DtDWjMA', '5FAD2Yq7DLBQ_-ef1iDA-A', 'QVGpwHZXsGOgHmp8w-ipvw', 'MQwSyZ2MZ6N7rtAmphZCow']"
-Lcp9BDlDDo7j3aIGJWjYg,['lBdGAZ0RsfbpYGdSkZcN4Q']
-MQNcf4688sfersNdVuJgQ,"['58IYRjxtf_E4XNUXysecdw', 'a85qPvr6L63PF0v9Zs8ZAg']"
-MTUy97mlspJsKMqnSnYgA,['hDiuDhttkIEt8_wVwufDvg']
-NiKViuY1lvifZ2CEHZnAg,['QVGpwHZXsGOgHmp8w-ipvw']
-NiRgFbh2DC2-ejaqYefmw,['9gZ4pQHdK6v8xMLig6EEFA']
-Ns10rFjK-olnftdmEO_0w,['P2sQVHyHmy4WA0I7NI5hWg']
-Ny_qWlSRmuV8lSBjfSD8w,['ZTKSgba01lWMKT2RUbCGrg']
-NycZLw5rPxqwrkKKI-83w,"['Kgxvv4DFWimTD3DlBhjbmw', 'lf1m4CbheuUR7fFZoLGRvA', 'Ytjon2aVUm09CMdfGJxZYg', 'kHGRDaZt4nHgNSJcjOTDeQ', 'QfRT_kE-eYlzbxCO81xctQ', 'XF4QVTTq5NpzOyhGzvJlEA', 'NfU0zDaTMEQ4-X9dbQWd9A', 'T76-jKiHe5Fz5qTjQQlWoA', 'IyIsFkVY48JWa01inv-7zA', 'rCWrxuRC8_pfagpchtHp6A', 'dt9IHwfuZs9D9LOH7gjNew', 'e6CklzQiZfjUmSvx9IViYg']"
-Ox7QPz0G56GOzT0ex-f5Q,"['AmMd7xpnaf8axS_roCBFRw', 'JktkPizuRAA32z-m1UCsBw', '8O6YdO7ZntA8nQhlUDubsw', 'owlUazXSDLaxlOV7z8181g', 'yJ6-mqLr-E8ZxGqzqfGb4A', 'W1AFbtC37Q1RzdrKS51NmQ', '_Ocw9q-wFyj7Wxx5ZGmCmg', 'DoRCeCcJbrsM2BiAKj3trA', 'i_DR3vdE73nVm2GlMbGpGA', '6H4Zj-c7FqM9mCsXvwaEQw', 'oJaGizd-tV9_CEWGcKyukw', 'qewG3X2O4X6JKskxyyqFwQ', '3nDUQBjKyVor5wV0reJChg', '3gRfkaVcEWri-Ju7OQX7uQ', '7tpZVkiYuMbDP4-NufK2Iw', 'Y8adrWFzckrjuC11aAs9Og', 'ryqJ5re09J5u94jDVImCew', 'ZyGrNTbnab8N3kmesYaQBQ', 'vRjVhl3ONG2GfWY4NXJZbQ', 'yWfbvo0LXhssOsH9FNJ8Jw', 'U4INQZOPSUaj8hMjLlZ3KA']"
-PHprQw7LiIZi3euex_Lvw,['6q6C8xLgaLR8RHfjlrXJvw']
-POfpCBqFJMtzm8UDnFPSA,"['gejiDBSDt1jt7VFU6USBaw', 'MMf0LhEk5tGa1LvN7zcDnA', 'V7B4KTBitlBs9YH_B00-9Q', '6BRl_DvSI4uy4VBxdlnajQ']"
-PbPi3wYwpLHs6bM7pwFrA,"['xLYv18eSaRmZRNbuzrdWQw', 'cRDQuBEgxaYQoSPHAiEgHQ', 'wVbz8w4h0cROQZneFimAgA', 'Q1jSXhDdn_H77WqXL6WICQ', '3ocgtgRuvVeol7IjbB1uDw', '6p1NDChnIpGl29Ce3cMKWg', 'EjTuHWrmBJcxJM6XoKsAeQ', 'mFwRTTDW0Yr-rFkTF2cFsw', 'N4K69ZdyU-B8NzVYxwjK0A', 'TgCLIZJnI4k0KFgt6hGQeg', 'TZelLnaGbHgaG7LBI6rfgg']"
-Qvcv-wzYsWrgYyNkwC3yA,"['vRjVhl3ONG2GfWY4NXJZbQ', 'EXKDLuYoZUKUNNNYA7TlGQ', 'UVVn8JcvIZ5fX5tE6Ne4Tw', '9u8D55VqYWZWdgTO0FxuYA', 'TBgBL943JKfiT_kI58o2pA']"
-RhRXVW9z9fs5zzxhFfnHg,"['eK6FpEPv2urKpEjWwR45QQ', 'XEHZoTDWjw3w-gcQyYIe4g', 'fQVeATRtU06PpqyPtvMIwA', 'gH3JDpHQfVcMEGaAaCJPjA', '-_vcdcTeTYp70lNsHrHljA', 'AIHzJz0AvTq0FxCLtBhOZA', 'J9c0XM-wV_KQmtZYxvIFFQ', '2HoYHTUjWfmY3vHruQlDhw', '0UI9KTPdtkwl9lMdMT-Sgg', 'sFRnh5U0bfTe8Ox8PygjHg', 'gru76BjkRY6UQVcw_yAxiQ', 'sjWvk3DZapZ-9ULAFtDmYw', 'Yej5B4nd8PqpHMQcmCTDrg', '116AVKourTNRaX_b_2ar_Q', 'tJ1qdNdG0tZywbgH9uw9qw', 'XNSyl47aXuPsvC5zXm5uhw', 'dIIKEfOgo0KqUfGQvGikPg']"
-SjQXQd-IRfOdUdYYwWGOQ,"['Mho2GibREwsPesKEyQbt8w', 'nrUQRMx6K-KJnoC15rMO2g', 'U4INQZOPSUaj8hMjLlZ3KA', '7Oe6ikklTjVBbEFw9emLcA', 'DjcRgZ0cJbf6-W2TxvFlBA', 'WXDj6mmyrJi5q5nHKJ6H7w', 'Rdt-JiAN7Qlw3dJ7UVdNtw', 'D43OWyfzIQjL8feJpYh2SQ', 'wnO99pBbGqwqOoTQM25iCw', 'JktkPizuRAA32z-m1UCsBw', 'I-4KVZ9lqHhk8469X9FvhA', 'OXSJCjKtvZPf-YPDCXcWZg', '3nDUQBjKyVor5wV0reJChg', 'wAJddqlvejbg1HHEPwWkjQ', '3gRfkaVcEWri-Ju7OQX7uQ', 'KtIh1kjkVESCqd2CCsQnhA', 'E8o8NcJRgixpWCVobXwzmw', 'yWfbvo0LXhssOsH9FNJ8Jw', 'lyfYBqtDGJJ1c98pfLUcLQ', 'vwLV4TkRMoghs86tB1Ke8Q', 'JcNSd3dXmIMVHP2CUpvMHA', 'ALw8EN21lby0vWtfD6JfIw', '0FMte0z-repSVWSJ_BaQTg', '3nIuSCZk5f_2WWYMLN7h3w', 'F2av57ztcbYiPADtT-YpdA', 'aWXGwath_dSGPwNdFiy9BQ', 'renPzRDqMZpMaHiCD_e1_A', '7tpZVkiYuMbDP4-NufK2Iw', 'vWP8-aQX0rYJszqkWVL7Ew', 'PKEzKWv_FktMm2mGPjwd0Q', 'DoRCeCcJbrsM2BiAKj3trA', 's-591-mtIyP7F1Lffw98jw', 'i_DR3vdE73nVm2GlMbGpGA', 'RdrvkrzDbXEXhxPxSp9GDA', '9jInruOKdpf20R5un0TxAA', 'AmMd7xpnaf8axS_roCBFRw', 'qPVtjjp8sNQ32p9860SR9Q', 'JYcCYNWs8Ul6ewG5kCYW4Q', 'dDe8K-gvBXuqp2zXmUFotg', 'XLNaiWF21OsAf0fMV6kuSg', '8Ae52apMLbD3jhHcaQ_Zzw', 'Kp5KHBSmV-Htc9NeSjJfPA', 'UYcmGbelzRa0Q6JqzLoguw', 'I6bmF5reohuwlJZYXUa-mA', 'u_wqt9RshdZsoj8ikLqoEQ', 'jwvmw22-y4eMq2rzi0wAeQ', '750rhwO7D_Cul7_GtO9Jsg', 'wdJKGY0xI5jpFrEL4Gm2fQ', 'deL6e_z9xqZTIODKqnvRXQ', 'oG9VFtr_ye8v2tDnS3NOYw', '6Z3EYh8_jw9OgPvoD7Acwg', 'EG6qatWgJ2WTJnzBCCH_Dg', 'EtaJMHr1Df_8B9ODxhqhvQ', 'cFGAElozHTdQDfHimOiSBQ']"
-TLXQfY2lZ6DVWQj4BosxQ,"['TYCkjEHPSJSnFb6m6GDluw', 'jhvreOViehq5zA4p2dgSVg']"
-TkqYJ_zBoyjiC1DGLMdPw,['GGTF7hnQi6D5W77_qiKlqg']
-V7frksbFjKQYVhrPnnlPw,"['q8pAYhK0Mpar_Vb_1R_tkg', 'BQkC6RneYfvfG6wRe0hsvQ']"
-XN6b7pqV2lghQgrIgu3vQ,"['UYcmGbelzRa0Q6JqzLoguw', 'JYcCYNWs8Ul6ewG5kCYW4Q', 'PKEzKWv_FktMm2mGPjwd0Q']"
-XgVXGJnOnW0kQEol6O3Pg,['4wp4XI9AxKNqJima-xahlg']
-XoCb6sUMa7NoFayUW0FlA,['Q4Qfu-3vYtL1LRm2X1b0Gg']
-XvB5TvlGahyamqIsJO-fg,"['WG3w_73scm_JUWJ_3Lgn0Q', 'Dkb-TJFNSWl4PYR8wEcWcw', 'jtM-lajwSwW65wJRaMuFxg']"
